track_id,taala,beat_F,beat_CMLt,beat_AMLt,downbeat_F,downbeat_CMLt,downbeat_AMLt
10001,adi,0.5330476442879544,0.20642201834862384,0.6827401595461217,0.48934633441675696,0.2261904761904762,0.8928571428571429
10002,adi,0.7652550907896934,0.7765466297322252,0.7765466297322252,0.415980024968789,0.4518518518518519,0.7555555555555555
10003,adi,0.9447057562439705,0.9551596941070626,0.9551596941070626,0.9017921146953404,0.953125,0.953125
10004,adi,0.891567136411564,0.9001629991850041,0.9001629991850041,0.8979082800536743,0.9967637540453075,0.9967637540453075
10005,adi,0.6689244016088942,0.0289855072463768,0.9274861162693866,0.6713189895195484,0.0289855072463768,0.9466666666666667
10006,adi,0.8043616524312829,0.5239060758082497,0.7024775043796782,0.6239557902307008,0.4166666666666667,0.7066666666666667
10007,adi,0.9525075580207613,0.9643916913946587,0.9643916913946587,0.9548207448659937,0.996078431372549,0.996078431372549
10008,adi,0.8179408629514354,0.6653086080297889,0.6653086080297889,0.7546659974978907,0.6790458937198068,0.6790458937198068
10009,adi,0.6256035852372243,0.0431177446102819,0.8276958719395181,0.6139917695473252,0.0588235294117647,0.8871939736346515
10010,adi,0.8106546722012181,0.8104500381388253,0.8104500381388253,0.8292209515032187,0.9181818181818183,0.9181818181818183
10011,adi,0.7242868222438071,0.610417148356011,0.6813874767141558,0.574585258795785,0.7466784966784967,0.7466784966784967
10012,adi,0.6126984126984127,0.0,0.9377551020408164,0.6193078324225865,0.0,0.9918032786885246
10013,adi,0.9946236559139784,1.0,1.0,1.0,1.0,1.0
10014,adi,0.9704739704739705,0.9642579642579642,0.9642579642579642,0.9874213836477986,1.0,1.0
10015,adi,0.6573768607539682,0.03190767141887303,0.9119101619702409,0.4166666666666667,0.0,0.59708808896693
10016,adi,0.8749838253048403,0.6630481939073848,0.9858970731553963,0.8786791575310611,0.6666666666666666,1.0
10017,adi,0.6644370122630993,0.0,0.9949832775919732,0.6725663716814158,0.0,1.0
10018,adi,0.7473945966225329,0.7493486433325519,0.7493486433325519,0.07827834058517934,0.059038662486938336,0.7139208173690932
10019,adi,0.8928617810841665,0.9081281440296531,0.9081281440296531,0.894260263880517,0.9683544303797468,0.9683544303797468
10020,adi,0.697755486923529,0.10379596678529063,0.8227230440554066,0.7030651340996168,0.10476190476190476,0.8315814620162446
